id,code,name
skok_skok_type_001,101,الصكوك والحجج العادیة
skok_skok_type_002,102,الصكوك الخاصة (شخصیة)
skok_skok_type_003,201,الوثائق الخاصة (شخصیة)
skok_skok_type_004,202,عقود تأسیس الشركات
skok_skok_type_005,203,قرارات تعدیل عقود تأسیس الشركات
skok_skok_type_006,204,السجلات التجاریة
skok_skok_type_007,205,الوكالات
skok_skok_type_008,206,قرارات مساحیة
skok_skok_type_009,207,وثائق الأملاك الموزعة و الهبات
skok_skok_type_010,208,.مستندات متعلقة بالهبات
skok_skok_type_011,209,صور الأجندة والمحاضر لاجتماعات مجلس النظارة
skok_skok_type_012,210,وثائق الأحكام القضائیة المنتھیة
skok_skok_type_013,211,صور وثائق الدعاوى صور وثائق الدعاوى المليونية
skok_skok_type_014,212,الاتفاقیات ومذكرات التفاهم والعقود الكبیرة
skok_skok_type_015,213,الوصایا
skok_skok_type_016,214,أصول عقود التسهیلات البنكیة ومرفقاتها
skok_skok_type_017,215,قرارات أصحاب الصلاحیة و قرارات مجلس المدیرین و مجلس النظارة و اللجنة التنفیذیة و اللجان الأخرى التابعة لها
